Name,OtherName,Elevation,Latitude,Longitude
North Dome,,7542,37.756928,-119.560096
Half Dome,,8840,37.746093,-119.533022
El Capitan,,7569,37.734207,-119.637651
Sentinel Dome,,8122,37.723017,-119.584297
Fairview Dome,,9723,37.871373,-119.403879
Medlicott Dome,,9880,37.856151,-119.4239
Cathedral Peak,,10911,37.847808,-119.405606
Parsons Peak-Northwest Ridge,,12040,37.778175,-119.309488
Parsons Peak,,12147,37.776934,-119.307748
Mount Florence,,12561,37.739821,-119.316064
Mount Dana,,13057,37.899812,-119.22117
Mount Gibbs,,12773,37.877054,-119.21181
Mammoth Peak,,12106,37.855394,-119.263505
Koip Peak,,12962,37.813634,-119.201831
Donohue Peak,,12023,37.775086,-119.230463
Banner Peak,,12936,37.69657,-119.19466
Mount Ritter,,13143,37.689058,-119.199557
Clyde Minaret,,12264,37.660389,-119.173956
Mount Maclure,,12880,37.743589,-119.280453
Mount Lyell,,13114,37.739392,-119.271615
Rodgers Peak,,12978,37.724971,-119.257506
Mount Ansel Adams,,11760,37.697892,-119.281624
Foerster Peak,,12057,37.689947,-119.290819
Long Mountain,,11502,37.667267,-119.295106
Sadler Peak,,10567,37.638684,-119.273182
Gale Peak,,10680,37.567953,-119.387125
Sing Peak,,10520,37.553864,-119.387437
Mount Starr King,,9092,37.70276,-119.517553
Mount Clark,,11522,37.69635,-119.428546
Red Peak,,11699,37.65382,-119.409427
Merced Peak,,11726,37.634897,-119.394567
Triple Divide Peak,,11611,37.631719,-119.370262
Buena Vista Peak,,9709,37.594091,-119.517716
Wawona Dome,,6897,37.556019,-119.613177
Devil Peak,,6989,37.529249,-119.740533
Crow Peak,,6440,37.508593,-119.736021
Shuteye Peak,,8351,37.349457,-119.428206
Long Valley Caldera,,7923,37.720238,-118.88478
Mammoth Mountain,,11030,37.630496,-119.032559
Mount Morrison,,12270,37.561394,-118.858424
Mount Morgan,,12992,37.511345,-118.779858
Red Slate Mountain,,13123,37.507482,-118.869275
Mount Stanford,,12838,37.489458,-118.796467
Red and White Mountain,,12816,37.479673,-118.857323
Balloon Dome,,6879,37.464729,-119.226764
Kaiser Peak,,10310,37.294206,-119.185585
Musick Mountain,,6801,37.169958,-119.30878
Three Sisters,,10612,37.141215,-119.060856
Eagle Peak,,10318,37.088586,-119.016612
Patterson Mountain,,8167,36.974749,-119.056461
Mount Starr,,12840,37.426795,-118.766146
Ruby Peak,,13188,37.408898,-118.782256
Mount Morgan,,13748,37.405236,-118.733265
Broken Finger Peak,,13080,37.404524,-118.716751
Mount Mills,,13451,37.393979,-118.789993
Mount Abbot,,13704,37.386377,-118.784931
Recess Peak,,12813,37.382485,-118.855724
Mount Dade,,13600,37.381963,-118.779495
Mount Gabb,,13741,37.376857,-118.802492
Bear Creek Spire,,13720,37.368012,-118.767505
Mount Hilgard,,13361,37.360516,-118.826788
Bear Creek Spire-South Peak,,13160,37.359726,-118.768452
Mount Julius Caesar,,13200,37.356752,-118.781745
Mount Tom,,13652,37.338479,-118.657008
Feather Peak,,13240,37.325942,-118.778
Royce Peak,,13280,37.318181,-118.77096
Seven Gables,,13080,37.310858,-118.833213
Merriam Peak,,13103,37.308938,-118.765331
Basin Mountain,,13181,37.296894,-118.658368
Gemini,,12880,37.297626,-118.817982
Basin Mountain-Southwest Peak,,13240,37.291245,-118.67248
Mount Humphreys,,13986,37.27058,-118.672935
Mount Humphreys-Southeast Peak,,13360,37.2665,-118.670856
Mount Emerson,,13204,37.242587,-118.654303
Mount Henry,,12196,37.183325,-118.827265
Mount Reinstein,,12586,37.079394,-118.738354
Blackcap Mountain,,11550,37.072055,-118.793566
